ros_time,wall_time,cmd_vx,cmd_vy,cmd_wz,wheel_vx,wheel_vy,wheel_wz,icp_msg_age,icp_healthy,icp_frozen_count,icp_vx,icp_vy,icp_wz,icp_px,icp_py,icp_pyaw,icp_cov_xx,icp_cov_yy,icp_cov_aa,imu_wz,imu_cov,imu_msg_age,wheel_px,wheel_py,wheel_pyaw,amcl_px,amcl_py,amcl_pyaw,map2odom_x,map2odom_y,map2odom_yaw,particle_count,scan_valid_pts,scan_near_ratio,lf_mode,lf_error_deg,lf_center_count,lf_kanbujian,lf_vision_valid,lf_lane_tracks,lf_pair_valid,lf_pair_slope_diff,lf_half_width,lf_half_width_samples,lf_far_turn,lf_far_confidence,lf_far_points,lf_image_age,wz_sign_flip_event
1785480155.3668854,1785480155.3669062,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.046,228.0,29,normal,0.119,5,0.02,0
1785480155.4184756,1785480155.4185197,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.046,227.9,29,normal,0.119,5,0.01,0
1785480155.4672356,1785480155.4672494,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.046,227.9,29,normal,0.119,5,0.02,0
1785480155.5165727,1785480155.5166025,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.045,228.0,29,normal,0.119,5,0.03,0
1785480155.5670547,1785480155.5670848,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.046,228.0,29,normal,0.119,5,0.01,0
1785480155.6190727,1785480155.6191037,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.049,228.0,29,normal,0.119,5,0.03,0
1785480155.6667688,1785480155.6667995,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.045,227.9,29,normal,0.119,5,0.02,0
1785480155.7200963,1785480155.7201297,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.045,228.0,29,normal,0.119,5,0.03,0
1785480155.7682288,1785480155.7682593,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.046,228.0,29,normal,0.119,5,0.02,0
1785480155.8191593,1785480155.8191905,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.5025276510766337,-10.666090297612783,-2.1549964039986196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,FAULT,-19.2,52,0,1,2,1,0.045,228.0,29,normal,0.119,5,0.04,0
